"filename", "language", "Vue", "TypeScript", "Less", "CSS", "comment", "blank", "total"
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\components.d.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 8
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\api\index.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 5
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\assets\css\styles.css", "CSS", 0, 0, 0, 10, 0, 0, 10
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\assets\css\styles.less", "Less", 0, 0, -5, 0, 5, 1, 1
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\Base\FlootBar.vue", "Vue", 1, 0, 0, 0, 0, 1, 2
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\Base\HeadBar.vue", "Vue", 24, 0, 0, 0, 0, 0, 24
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\MusicCover\SongListComment.vue", "Vue", 9, 0, 0, 0, 0, 2, 11
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\MusicCover\SongListDetail.vue", "Vue", 50, 0, 0, 0, 0, 2, 52
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\MusicCover\recommendCover.vue", "Vue", 4, 0, 0, 0, 0, 0, 4
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\MusicCover\songsListCollector.vue", "Vue", 9, 0, 0, 0, 0, 2, 11
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\MusicCover\type.ts", "TypeScript", 0, 97, 0, 0, 1, 9, 107
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\store\playlist.ts", "TypeScript", 0, 25, 0, 0, 0, 1, 26
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\store\type.ts", "TypeScript", 0, 294, 0, 0, 1, 18, 313
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\store\user.ts", "TypeScript", 0, 1, 0, 0, 0, 1, 2
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\utils\cookie.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\SongList.vue", "Vue", 202, 0, 0, 0, 1, 3, 206
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\children\songsList.vue", "Vue", -8, 0, 0, 0, 0, -3, -11
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\Home.vue", "Vue", -1, 0, 0, 0, 0, 0, -1
"Total", "-", 290, 431, -5, 10, 8, 37, 771